playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,GO,AO,QS,BS,Holds,SvOpp,NumberOfPitches,BABIP AB Against,H-HR actual,MLB pBABIP,career_babip_actual_500_ab_minimum,1yr_babip_actual_100_ab_minimum,3yr_babip_actual_300_ab_minimum,5yr_babip_actual_500_ab_minimum,career_babip_aactual_500_ab_minimum_Relative,1yr_babip_aactual_100_ab_minimum_Relative,3yr_babip_actual_300_ab_minimum_Relative,5yr_babip_actual_500_ab_minimum_Relative,career_babip_actual_1000_ab_minimum,1yr_babip_actual_200_ab_minimum,3yr_babip_actual_600_ab_minimum,5yr_babip_actual_1000_ab_minimum,career_babip_actual_1000_ab_minimum_Relative,1yr_babip_actual_200_ab_minimum_Relative,3yr_babip_actual_600_ab_minimum_Relative,5yr_babip_actual_1000_ab_minimum_Relative,IP,BF
adachmi01,1962,1,HKB,NL,8,4,39,9,4,4,0,371,92,27,8,22,94,,1.96,,0,1,0,483,11,32,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,123.2,483
adachmi01,1963,1,HKB,NL,6,18,47,24,5,2,0,602,187,77,24,31,121,,3.45,,0,6,0,803,9,89,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,200.2,803
adachmi01,1964,1,HKB,NL,13,15,46,29,8,4,0,708,200,73,26,37,125,,2.78,,0,5,0,927,11,82,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,236.0,927
adachmi01,1965,1,HKB,NL,15,9,31,24,10,4,0,513,146,52,14,35,104,,2.74,,0,11,0,684,5,59,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,171.0,684
adachmi01,1966,1,HKB,NL,17,14,52,30,10,3,0,811,243,79,27,49,158,,2.63,,0,14,0,1099,18,98,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,270.1,1099
adachmi01,1967,1,HKB,NL,20,10,43,29,17,5,0,804,191,52,13,60,130,,1.75,,0,9,0,1042,10,65,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,268.0,1042
adachmi01,1968,1,HKB,NL,0,1,5,4,0,0,0,54,13,7,2,5,12,,3.5,,0,1,0,74,1,11,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,18.0,74
adachmi01,1969,1,HKB,NL,2,1,33,5,0,0,0,181,73,32,10,10,32,,4.8,,0,6,0,265,11,39,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,60.1,265
adachmi01,1970,1,HKB,NL,9,2,46,6,3,0,0,351,112,39,11,24,59,,3.0,,0,3,0,469,14,45,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,117.0,469
adachmi01,1971,1,HKB,NL,19,8,43,32,18,4,0,758,200,70,21,55,116,,2.49,,0,11,0,996,8,80,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,252.2,996
adachmi01,1972,1,HKB,NL,16,6,34,23,12,1,0,586,174,57,25,31,71,,2.63,,0,4,0,785,9,69,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,195.1,785
adachmi01,1973,1,HKB,NL,4,6,27,15,3,0,0,309,117,53,20,23,41,,4.63,,0,6,7,443,9,60,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,103.0,443
adachmi01,1974,1,HKB,NL,10,9,30,27,8,3,1,542,183,63,17,40,66,,3.13,,1,11,1,758,1,76,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,180.2,758
adachmi01,1975,1,HKB,NL,11,10,26,25,16,1,0,575,177,58,12,32,66,,2.72,,0,11,0,780,0,69,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,191.2,780
adachmi01,1976,1,HKB,NL,17,8,31,29,14,2,1,638,207,60,18,27,67,,2.54,,2,14,0,868,2,80,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,212.2,868
adachmi01,1977,1,HKB,NL,7,7,20,15,7,2,0,342,117,40,10,17,38,,3.16,,0,3,0,461,4,54,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,114.0,461
adachmi01,1978,1,HKB,NL,4,6,15,14,3,0,1,257,101,40,13,12,23,,4.19,,0,6,0,371,1,47,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,85.2,371
adachmi01,1979,1,HKB,NL,0,1,4,2,0,0,0,49,20,11,4,2,7,,6.19,,0,0,0,71,2,13,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,16.1,71
adachmi01,1980,1,HKB,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
adachwa01,1986,1,HRC,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
adachwa01,1987,1,HRC,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
adachwa01,1988,1,HRC,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
